evt_id,evt_start,evt_end,evt_text,$evt_color,$evt_bg,$evt_category
20241031_frsesr4i98qdierg4hcme9sr3g,2023-03-18,2023-03-18,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-04-01,2023-04-01,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-04-15,2023-04-15,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-04-29,2023-04-29,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-05-13,2023-05-13,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-05-27,2023-05-27,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-06-10,2023-06-10,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-06-24,2023-06-24,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-07-08,2023-07-08,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-07-22,2023-07-22,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-08-05,2023-08-05,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-08-19,2023-08-19,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-09-02,2023-09-02,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-09-16,2023-09-16,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-09-30,2023-09-30,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-10-14,2023-10-14,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-10-28,2023-10-28,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-11-11,2023-11-11,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-11-25,2023-11-25,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-12-09,2023-12-09,Working saturday,#000000,#FFFC41,3
20241031_frsesr4i98qdierg4hcme9sr3g,2023-12-23,2023-12-23,Working saturday,#000000,#FFFC41,3
